"TARGET","CCONJ","ADV","ADJ","modifier","comma","id","corpus"
"dirty","but",NA,"necessary",NA,0,"text3278","Politics also plays a role as both are dirty but necessary industry."
"dirty","but",NA,"good","so",0,"text3283","It feels so dirty but good at the same time."
"dirty","but",NA,"inevitable",NA,0,"text3296","I'm not as prim as you, I definitely see lying and spin as a dirty but inevitable aspect of the political process."
"dirty","but",NA,"inevitable",NA,0,"text3298","&gt; I'm not as prim as you, I definitely see lying and spin as a dirty but inevitable aspect of the political process."
"dirty","but",NA,"pretty","that",0,"text3336","Monsta X - Monsta Truck  - let the lyrics speak for it i guess - nice parking  Day6 - Hunt  - literally about hunting a woman  Blackpink - Boombayah  - not that dirty but pretty cringy - about girls walking in and making all the oppas nosebleed"
"dirty","but",NA,"inevitable",NA,0,"text3342","&gt; I'm not as prim as you, I definitely see lying and spin as a dirty but inevitable aspect of the political process."
"dirty","but","occasionally","clumsy","really",0,"text337","Not really dirty but occasionally clumsy and reckless."
"dirty","but",NA,"worth",NA,1,"text354","Dirty, but worth it."
"dirty","but","still","comfortable",NA,1,"text412","I think for an every day shoe you don't want to worry about getting dirty, but still comfortable this seems pretty good."
"dirty","but",NA,"harmless",NA,0,"text441","And the people who had tattoos had them cuz they had a hard life, not because they are members of 3 rock climbing gyms and have the disposable income to get their ink in bali to full the void of their overly affluent lives...or maybe to  cover the  shame they feel openly complaining about homeless (dirty but harmless) people next to where they park their explorer...or maybe because it's a hipper look for their #veganmom IG accounts."
"dirty","but",NA,"harmless",NA,0,"text444","&gt;And the people who had tattoos had them cuz they had a hard life, not because they are members of 3 rock climbing gyms and have the disposable income to get their ink in bali to full the void of their overly affluent lives...or maybe to cover the shame they feel openly complaining about homeless (dirty but harmless) people next to where they park their explorer...or maybe because it's a hipper look for their #veganmom IG accounts."
"dirty","but","also","high","less",1,"text463","The smokeless rounds would be less dirty, but also higher pressure and might decrease the functional life of the weapon."
"dirty","but",NA,"simple",NA,0,"text466","It's been almost a decade since my compiler course, and I still vividly remember reducing many problems with strange or difficult to articulate recursion schemes down to computing a dirty but simple fix-point."
"dirty","but","rather","pure",NA,1,"text467","The duality here isn't clean/dirty, but rather pure/impure."
"dirty","but",NA,"dark","much",0,"text470","Not so much dirty but dark... when Bernadette was telling Amy about Howard’s family and her family being neighbors in past generations Amy said that wasn’t a good thing (Wolowitz family was in concentration/death camp while Bernadette’s family was living in the nearby town)"
"dirty","but","also","hot","of",0,"text473","Well it felt kind of dirty but also hot 😉."
"dirty","but","not","enough",NA,0,"text488","Outside of nice loans or credit cards to pay off all that lift, wheels and rubber, the gas mileage goes to crap, especially on the freeway. 250 with tow mirrors and he probably muds just enough to get dirty but not enough to stress the lift kit, etc."
"dirty","but",NA,"most",NA,1,"text491","It's loud and dirty, but most of them say it's way better than anywhere else they've worked."
"dirty","but","so","satisfying","so",0,"text497","It felt so dirty but so satisfying."
"dirty","but",NA,"realistic","perhaps",0,"text501","Perhaps dirty but realistic, these girls are being put at risk by their own parents."
"dirty","but",NA,"unwashed",NA,0,"text507","When they were dirty but unwashed, I kept them in a 5 gal bucket filled with a partial mix of bleach and water."
"dirty","but",NA,"good",NA,0,"text510","\"Dirty but good, as they say\"  JJ, I've literally only heard you ever say that, and I've only started saying that because I heard it from you."
"dirty","but",NA,"easy","super",0,"text539","It’s sprayed with coffee to make it look super dirty but easy to clean in order to make the video look good (which obviously works because it’s very satisfying to watch)"
"dirty","but",NA,"more",NA,1,"text544","I have Dirty, but more as a novelty than a functional perfume."
"dirty","but","very","sexy","very",1,"text545","Very dirty, but very sexy"
"dirty","but","not","filthy","home",0,"text553","😊 I just want to work a normal job where I get to talk to people without yelling and come home dirty but not filthy, I like having my beard cut short and sport a sweet fade on top."
"dirty","but",NA,"consistent",NA,0,"text557","I currently use precision one remans... a bit dirty but consistent and they use lake city brass so its putting me on my way to getting a reloading setup down the road."
"dirty","but","rather","clean","not",0,"text583","Its not musty, its not dirty but rather clean in its delivery."
"dirty","but",NA,"annoying","really",1,"text604","Not really dirty, but annoying."
"dirty","but","somewhat","well","extremely",0,"text610","It’s a dust filter if you take it off your pc will get extremely dirty but somewhat better airflow keep it on and it doesn’t get dirty that often but restricts some airflow"
"dirty","but",NA,"effective",NA,0,"text612","They play dirty but effective and they pushed us, ever since that Napoli game nobody has been able to lay a glove on us and it showed when we played against a very organised team."
"dirty","but",NA,"beautiful",NA,0,"text621","Hot, sexy, dirty but beautiful and fun!"
"dirty","but","not","scary",NA,0,"text638","Dirty but not scary dirty."
"dirty","but","also","dangerous",NA,1,"text644","I was always under the impression (well mostly from hgvt) that carpet was not only regarded as dirty, but also dangerous and cheap."
"dirty","but",NA,"effective",NA,1,"text667","Dirty, but effective."
"dirty","but",NA,"effective",NA,0,"text677","When I got home I spent weeks learning self-defence throws and how to turn my by the rules boxing into dirty but effective punches."
"dirty","but",NA,"easy",NA,0,"text691","If you can do it yourself, it's a dirty but easy job to do."
"dirty","but","still","fun",NA,0,"text699","It wouldn't be fun as a Survivor being double teamed by Killers, it would be fun as a Killer double teaming a Survivor though, it'd feel dirty but still fun."
"dirty","but",NA,"most","so",0,"text712","Everyone thinks they are all so dirty but most bugs routinely groom themselves."
"dirty","but",NA,"legal",NA,0,"text714","I think it’s much more likely that the blood angle was done to set up the Mania match having some sort of hardcore stipulation, which would also allow Shayna to win in a dirty but legal manner."
"dirty","but",NA,"common",NA,0,"text739","There are very strong customer protection laws, much stricter than in the US or Canada, and a lot of dirty but common tricks are forbidden."
"dirty","but",NA,"sociable",NA,0,"text740","It is dirty but sociable dirty, not that I-can't-wear-this-in-public dirty."
"dirty","but",NA,"sure",NA,0,"text742","Well we're about to get dirty but sure what the hell."
"dirty","but","not","broken",NA,0,"text78","I would like them to add some plans for free like a dirty but not broken toilet and a non-atom store sink."
"dirty","but",NA,"necessary",NA,0,"text802","Anyone doing the kind of dangerous jobs that are dirty but necessary:  - Firefighters who run into burning buildings or climbt up 60 meter tall ladders in order to save someone  - Nurses who wipe the nastiest asses all day  - Teachers who manage to deal with energetic kids in large quantities all day and teach them things like math  - Police response units who go in when some mad lad is shooting up a place  - Judges who must find a just sentence from an objective point of view, not matter if it's about theft or child abuse."
"dirty","but","not","dusty",NA,0,"text804","Not sure how old it was, bought it used about a year ago but it wasn’t used often before purchase, house is dirty but not dusty or anything, don’t smoke don’t have bugs from what I know, when I get home I’ll clean it out and see if that helps"
"dirty","but","still","intact",NA,0,"text805","Sequel: Same place but this time I was 15, the roses were still as gorgeous as before, the swing was a bit dirty but still intact."
"dirty","but","not","dangerous",NA,1,"text808","Dirty, but not dangerous."
"dirty","but","so","good",NA,0,"text810","Haha that was dirty but so good"
"dirty","but",NA,"january",NA,0,"text815","I find it dirty but January last year, I gave it a chance."
"dirty","but",NA,"damn","obviously",0,"text819","Not standing up for her, she's obviously dirty but damn."
"dirty","but",NA,"clean",NA,0,"text820","It is dirty but clean fun."
"dirty","but","generally","wearable","rather",0,"text823","It is rather dirty but generally wearable with a couple holes."
"dirty","but","generally","wearable","rather",0,"text826","&gt; It is rather dirty but generally wearable with a couple holes."
"dirty",NA,NA,NA,NA,0,"text836","Before i put the internal fuel pump back in i checked the sock and it look a little dirty but not dirty enough to affect the fuel flow."
"dirty","but",NA,"sexy","not",1,"text839","Or not dirty, but SEXY!"
"dirty","but",NA,"sexy","not",1,"text840","Or not dirty, but SEXY!"
"dirty","but",NA,"powerful",NA,0,"text872","So while the rest of my party was just ragged and kitted in dirty but powerful armor, I just wore dresses because that is more important."
"dirty","but",NA,"ugly",NA,1,"text888","I can see why you would call it dirty, but ugly and sad?"
"dirty","but",NA,"true","lmao",0,"text889","Lmao dirty but true."
"dirty","but",NA,"successful","horrendously",0,"text896","I’ve never been one for trying to gain muscle and lose fat at the same time, all my cuts have been at 1-1.5lb/week, all my bulks have been horrendously dirty but successful."
"dirty","but",NA,"legal",NA,0,"text914","Dirty but legal."
"dirty","but",NA,"functional",NA,0,"text919","I was looking to see if it's safe to use isopropyl alcohol on my new (well, new to me, but got it from Goodwill so it's quite grimy and dirty but functional) Korg Wavestation EX."
"dirty","but","totally","functional",NA,1,"text923","Mob extra-course grip tape is dirty, but totally functional."
"dirty","but","not","dirty",NA,0,"text936","Theres no sound and my mind is dirty but not dirty enough to get the joke"
"dirty","but",NA,"rational",NA,0,"text940","Sarrin however, refused to give him a reason and then gave the order to destroy Maruuk's shuttle and shot Skane - bringing an end to the escapees' mutiny.      &gt;During the Siege of Terra a haggard and dirty but rational sane Sarrin was still in command of the corrupted Conqueror, desperately trying to hold the ship together despite random massacres being committed by Angron and his World Eaters."
"dirty","but",NA,"consistent","not",1,"text949","Attacking him over that is not dirty, but consistent with US interests.  b) Trump's response to COVID19 is tepid at best, negligent at worst."
"dirty","but","not","worth",NA,0,"text956","What are these \"fines\" for doing dirty shit, are they considered dirty but not worth suspension by NHL?"
"dirty","but",NA,"dirty",NA,0,"text968","Fury didn’t cheat, he played dirty but dirty  within the rules."
"dirty","but",NA,"legal",NA,1,"text985","I did in this fight, check out the clip: https://web.facebook.com/sylviemuaythai/videos/1135874859779976/  The knee is maybe a little bit dirty, but legal in Thailand."
"dirty","but",NA,"safe",NA,0,"text995","Go to other western countries; homeless people still have the dirty but safe vibe they used to in the US."
"dirty","but",NA,"overall",NA,0,"text996","Theres tons of factors that could lead to the pc getting this dirty but overall its most likely just the person neglecting to ever clean it and being a generally dirty person for it to get this bad."
"dirty","but",NA,"utah",NA,1,"text997","Southern Taco Bell never did me dirty, but Utah Taco Bell..."
